ticker,sector,days_seen,dp_days,dp_coverage,pcr_days,opt_coverage,avg_dp_pct,avg_block_count,avg_combined_score,composite_score
SNDK,Technology,22,21,0.955,22,1.000,0.29,16.4,81.5,21.00
LITE,Technology,26,21,0.808,26,1.000,0.24,2.9,80.1,21.00
MU,Technology,18,18,1.000,18,1.000,0.28,15.0,80.3,18.00
INTC,Technology,21,16,0.762,21,1.000,0.13,0.0,77.6,16.00
NVDA,Technology,11,11,1.000,11,1.000,0.24,31.4,86.5,11.00
TSM,Technology,14,10,0.714,14,1.000,0.14,1.5,81.8,10.00
AAOI,Technology,20,9,0.450,20,1.000,0.29,0.0,84.2,9.00
WDC,Technology,21,8,0.381,21,1.000,0.39,5.6,78.8,8.00
ASTS,Technology,15,7,0.467,15,1.000,0.21,0.0,84.5,7.00
AMD,Technology,8,7,0.875,8,1.000,0.21,10.7,84.9,7.00
XOM,Energy,20,6,0.300,20,1.000,0.21,5.0,85.0,6.00
NBIS,Communication Services,23,6,0.261,23,1.000,0.20,0.0,80.8,6.00
GOOGL,Technology,9,6,0.667,9,1.000,0.09,2.5,75.3,6.00
CVX,Energy,21,6,0.286,21,1.000,0.14,0.0,83.8,6.00
VRT,Industrials,22,5,0.227,22,1.000,0.25,0.0,79.0,5.00
GLW,Technology,22,5,0.227,22,1.000,0.63,6.0,80.5,5.00
PL,Industrials,18,4,0.222,18,1.000,1.14,3.8,81.0,4.00
LNG,Energy,22,4,0.182,22,1.000,0.17,0.0,84.4,4.00
LMT,Industrials,15,4,0.267,15,1.000,0.55,7.5,83.0,4.00
COHR,Technology,22,4,0.182,22,1.000,0.17,0.0,80.4,4.00
AG,Basic Materials,20,4,0.200,20,1.000,0.30,0.0,78.5,4.00
AEM,Basic Materials,22,4,0.182,22,1.000,0.85,0.0,83.2,4.00
WMT,Consumer Defensive,16,3,0.188,16,1.000,0.18,0.0,81.4,3.00
TER,Technology,21,3,0.143,21,1.000,0.33,0.0,83.4,3.00
NEM,Basic Materials,16,3,0.188,16,1.000,0.30,0.0,80.9,3.00
