ticker,sector,category,days_seen,dp_days,dp_coverage,pcr_days,opt_coverage,avg_dp_pct,dp_pct_cv,avg_block_count,avg_pcr,avg_combined_score
AA,Basic Materials,C,22,1,0.05,22,1.00,1.86,0.00,0.0,0.504,79.5
AAL,Industrials,C,1,0,0.00,1,1.00,0.00,0.00,0.0,1.089,79.5
AAOI,Technology,C,20,9,0.45,20,1.00,0.29,0.87,0.0,0.588,84.2
AAON,Industrials,C,3,1,0.33,3,1.00,3.59,0.00,0.0,1.085,72.8
AAP,Consumer Cyclical,C,9,0,0.00,9,1.00,0.00,0.00,0.0,0.457,83.9
AAPL,Technology,C,16,3,0.19,5,0.31,0.08,0.50,0.0,0.641,80.9
ABBV,Healthcare,C,9,0,0.00,9,1.00,0.00,0.00,0.0,0.485,78.4
ABCB,Financial Services,C,1,0,0.00,1,1.00,0.00,0.00,0.0,3.722,74.0
ABNB,Consumer Cyclical,C,11,0,0.00,11,1.00,0.00,0.00,0.0,1.064,81.9
ABVX,Healthcare,C,7,0,0.00,7,1.00,0.00,0.00,0.0,0.367,76.8
ACA,Industrials,C,2,0,0.00,2,1.00,0.00,0.00,0.0,0.244,74.5
ACAD,Healthcare,C,2,0,0.00,2,1.00,0.00,0.00,0.0,0.362,75.5
ACGL,Financial Services,C,13,0,0.00,13,1.00,0.00,0.00,0.0,1.037,75.5
ACHC,Healthcare,C,7,0,0.00,7,1.00,0.00,0.00,0.0,0.659,82.2
ACLS,Technology,C,8,0,0.00,8,1.00,0.00,0.00,0.0,0.299,75.1
ACLX,Healthcare,C,7,0,0.00,7,1.00,0.00,0.00,0.0,1.322,73.4
ACMR,Technology,C,7,0,0.00,7,1.00,0.00,0.00,0.0,0.264,77.7
ACT,Financial Services,C,1,0,0.00,1,1.00,0.00,0.00,0.0,0.000,80.5
ADC,Real Estate,C,17,0,0.00,17,1.00,0.00,0.00,0.0,0.180,79.3
ADEA,Technology,C,19,0,0.00,19,1.00,0.00,0.00,0.0,3.303,83.6
ADI,Technology,C,18,1,0.06,18,1.00,0.23,0.00,0.0,0.720,76.4
ADM,Consumer Defensive,C,14,0,0.00,14,1.00,0.00,0.00,0.0,0.312,81.6
ADPT,Healthcare,C,1,0,0.00,1,1.00,0.00,0.00,0.0,0.426,74.5
AEE,Utilities,C,19,0,0.00,19,1.00,0.00,0.00,0.0,0.068,82.2
AEIS,Industrials,C,8,0,0.00,8,1.00,0.00,0.00,0.0,2.667,84.9
AEM,Basic Materials,C,22,4,0.18,22,1.00,0.85,1.01,0.0,0.407,83.2
AEO,Consumer Cyclical,C,3,0,0.00,3,1.00,0.00,0.00,0.0,0.618,72.2
AEP,Utilities,C,23,0,0.00,23,1.00,0.00,0.00,0.0,0.910,80.2
AER,Industrials,C,9,0,0.00,9,1.00,0.00,0.00,0.0,1.481,83.0
AERO,Industrials,D,1,0,0.00,0,0.00,0.00,0.00,0.0,0.000,132.8
AES,Utilities,C,2,0,0.00,2,1.00,0.00,0.00,0.0,0.319,82.0
AFL,Financial Services,C,5,0,0.00,5,1.00,0.00,0.00,0.0,0.429,75.8
AG,Basic Materials,C,20,4,0.20,20,1.00,0.30,0.22,0.0,0.533,78.5
AGCO,Industrials,C,3,0,0.00,3,1.00,0.00,0.00,0.0,1.173,72.5
AGI,Basic Materials,C,20,0,0.00,20,1.00,0.00,0.00,0.0,0.458,80.5
AGIO,Healthcare,C,1,0,0.00,1,1.00,0.00,0.00,0.0,0.671,74.0
AGNC,Real Estate,C,3,0,0.00,3,1.00,0.00,0.00,0.0,0.578,78.8
AGRO,Consumer Defensive,C,9,0,0.00,9,1.00,0.00,0.00,0.0,0.162,82.7
AGX,Industrials,C,6,1,0.17,6,1.00,0.64,0.00,0.0,1.963,74.9
AHR,Real Estate,C,10,0,0.00,10,1.00,0.00,0.00,0.0,0.260,77.7
AIG,Financial Services,C,4,0,0.00,4,1.00,0.00,0.00,0.0,0.456,82.1
AIR,Industrials,C,4,0,0.00,4,1.00,0.00,0.00,0.0,0.717,92.4
AKAM,Technology,C,21,1,0.05,21,1.00,0.77,0.00,0.0,0.747,81.9
AKR,Real Estate,C,13,0,0.00,13,1.00,0.00,0.00,0.0,0.052,80.0
AL,Industrials,C,17,0,0.00,17,1.00,0.00,0.00,0.0,5.423,80.0
ALB,Basic Materials,C,16,0,0.00,16,1.00,0.00,0.00,0.0,0.776,80.7
ALC,Healthcare,C,8,0,0.00,8,1.00,0.00,0.00,0.0,1.252,83.8
ALGM,Technology,C,7,1,0.14,7,1.00,2.73,0.00,0.0,0.580,75.1
ALGN,Healthcare,C,9,0,0.00,9,1.00,0.00,0.00,0.0,1.591,82.2
ALHC,Healthcare,C,1,0,0.00,1,1.00,0.00,0.00,0.0,0.419,70.5
ALK,Industrials,C,3,0,0.00,3,1.00,0.00,0.00,0.0,0.827,83.7
ALKS,Healthcare,C,3,0,0.00,3,1.00,0.00,0.00,0.0,0.413,71.7
ALL,Financial Services,C,16,0,0.00,16,1.00,0.00,0.00,0.0,0.488,79.3
ALLE,Industrials,C,1,0,0.00,1,1.00,0.00,0.00,0.0,0.507,70.0
ALLY,Financial Services,C,1,0,0.00,1,1.00,0.00,0.00,0.0,0.411,72.0
ALM,Basic Materials,C,20,0,0.00,20,1.00,0.00,0.00,0.0,0.464,76.5
ALMS,Healthcare,C,12,0,0.00,12,1.00,0.00,0.00,0.0,0.922,82.6
